datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:16:21.148000+03:00,,,,,159.25,151.10,174.40,
2024-10-19 15:16:22+03:00,66.30,13.10,27.90,10.80,,,,
2024-10-19 15:16:22.863000+03:00,,,,,159.60,151.45,174.15,
2024-10-19 15:16:24+03:00,66.00,13.00,28.30,11.20,,,,
2024-10-19 15:16:24.568000+03:00,,,,,158.25,150.50,173.35,
2024-10-19 15:16:26+03:00,65.90,13.20,28.60,11.10,,,,
2024-10-19 15:16:26.273000+03:00,,,,,159.40,150.80,173.10,
2024-10-19 15:16:27+03:00,66.20,13.40,28.90,10.60,,,,
2024-10-19 15:16:27.973000+03:00,,,,,157.90,149.85,172.80,
2024-10-19 15:16:29+03:00,66.70,13.60,29.10,18.40,,,,
2024-10-19 15:16:29.633000+03:00,,,,,159.65,150.80,173.00,
2024-10-19 15:16:31+03:00,66.60,13.10,28.20,10.70,,,,
2024-10-19 15:16:31.313000+03:00,,,,,158.85,150.50,173.00,
2024-10-19 15:16:32+03:00,66.00,13.40,28.20,11.20,,,,
2024-10-19 15:16:32.993000+03:00,,,,,157.55,150.15,173.45,
2024-10-19 15:16:34+03:00,65.90,13.20,28.20,10.80,,,,
2024-10-19 15:16:34.694000+03:00,,,,,158.15,150.15,172.70,
2024-10-19 15:16:36+03:00,65.90,13.10,28.30,10.50,,,,
2024-10-19 15:16:36.393000+03:00,,,,,157.20,149.85,173.20,
2024-10-19 15:16:37+03:00,66.30,13.00,29.10,13.80,,,,
2024-10-19 15:16:38.103000+03:00,,,,,157.40,150.15,173.50,
2024-10-19 15:16:39+03:00,66.20,12.90,28.40,11.00,,,,
2024-10-19 15:16:39.823000+03:00,,,,,157.65,150.15,173.60,
2024-10-19 15:16:41+03:00,66.90,13.80,27.80,11.20,,,,
2024-10-19 15:16:41.533000+03:00,,,,,157.85,150.15,173.25,
2024-10-19 15:16:43+03:00,66.40,13.60,29.90,12.20,,,,
2024-10-19 15:16:43.238000+03:00,,,,,158.75,150.80,173.50,
2024-10-19 15:16:44+03:00,65.80,13.70,28.70,11.00,,,,
2024-10-19 15:16:44.968000+03:00,,,,,157.05,149.55,172.60,
2024-10-19 15:16:46+03:00,66.10,12.80,28.20,10.60,,,,
2024-10-19 15:16:46.663000+03:00,,,,,157.85,150.15,173.30,
2024-10-19 15:16:48+03:00,66.30,13.20,28.60,10.80,,,,
